=== Debug Logger 시작 ===
Unity 버전: 2022.3.55f1
플랫폼: WindowsEditor
해상도: 977x550
[19:31:05.192] [Warning] DontDestroyOnLoad only works for root GameObjects or components on root GameObjects.
[19:31:05.198] [Warning] DontDestroyOnLoad only works for root GameObjects or components on root GameObjects.
[19:31:05.199] [Warning] DontDestroyOnLoad only works for root GameObjects or components on root GameObjects.
[19:31:05.437] [Log] DungGeunMo 폰트 자동 로드 성공: Assets/Font/DungGeunMo SDF
DungGeunMo 폰트 자동 로드 성공: Assets/Font/DungGeunMo SDF
[19:31:05.437] [Log] CreatePrefabsIfNeeded 시작
[19:31:05.438] [Log] MenuPrefab 생성 중...
[19:31:05.453] [Log] MenuPrefab 생성 완료: 성공
[19:31:05.454] [Log] ButtonPrefab 생성 중...
[19:31:05.505] [Log] DungGeunMo 폰트 적용 완료
[19:31:05.506] [Log] ButtonPrefab 생성 완료: 성공
[19:31:05.506] [Log] SeparatorPrefab 생성 중...
[19:31:05.507] [Log] SeparatorPrefab 생성 완료: 성공
[19:31:05.508] [Log] CreatePrefabsIfNeeded 완료
[19:31:05.508] [Log] Unity UI 컨텍스트 메뉴 시스템 초기화 완료
Unity UI 컨텍스트 메뉴 시스템 초기화 완료
[19:31:05.511] [Log] 카메라 설정 완료!
[19:31:05.511] [Log] Clear Flags: SolidColor
[19:31:05.512] [Log] Background Color: RGBA(0.000, 0.000, 0.000, 1.000)
카메라 Clear Flags: SolidColor
카메라 Background Color: RGBA(0.000, 0.000, 0.000, 1.000)
검은색 강제 렌더링 모드 활성화!
[19:31:05.514] [Log] 캣타워 위치: (7.61, -4.45, 0.00) (화면 우측하단)
캣타워 위치: (7.61, -4.45, 0.00) (화면 우측하단)
[19:31:05.516] [Log] 타워 이미지 로드 성공: Assets/Image/CatTower.png
[19:31:05.518] [Log] 타워 이미지 로드 성공 - 레벨 1 (크기: 250x300)
타워 이미지 로드 성공 - 레벨 1 (크기: 250x300)
[19:31:05.519] [Log] 캣타워 생성 완료 - 우측하단 배치
캣타워 생성 완료 - 우측하단 배치
[19:31:05.528] [Log] 게임 데이터 매니저 초기화
게임 데이터 매니저 초기화 - 초기 행복도: 100%
[19:31:05.534] [Log] 고양이 위치: (8.00, -4.19, 0.00), 방향: (0.00, 1.00), screenBounds: 5
[19:31:05.968] [Log] 고양이 위치: (8.00, -4.19, 0.00), 방향: (0.00, 1.00), screenBounds: 5
[19:31:06.004] [Log] 고양이 위치: (8.00, -4.18, 0.00), 방향: (0.00, 1.00), screenBounds: 5
[19:31:06.017] [Log] 고양이 위치: (8.00, -4.17, 0.00), 방향: (0.00, 1.00), screenBounds: 5
[19:31:06.036] [Log] 고양이 위치: (8.00, -4.17, 0.00), 방향: (0.00, 1.00), screenBounds: 5
[19:31:06.050] [Log] 고양이 위치: (8.00, -4.16, 0.00), 방향: (0.00, 1.00), screenBounds: 5
[19:31:06.068] [Log] 고양이 위치: (8.00, -4.16, 0.00), 방향: (0.00, 1.00), screenBounds: 5
[19:31:06.087] [Log] 고양이 위치: (8.00, -4.15, 0.00), 방향: (0.00, 1.00), screenBounds: 5
[19:31:06.102] [Log] 고양이 위치: (8.00, -4.15, 0.00), 방향: (0.00, 1.00), screenBounds: 5
[19:31:06.118] [Log] 고양이 위치: (8.00, -4.14, 0.00), 방향: (0.00, 1.00), screenBounds: 5
[19:31:06.135] [Log] 고양이 위치: (8.00, -4.14, 0.00), 방향: (0.00, 1.00), screenBounds: 5
[19:31:06.150] [Log] 고양이 위치: (8.00, -4.13, 0.00), 방향: (0.00, 1.00), screenBounds: 5
[19:31:06.169] [Log] 고양이 위치: (8.00, -4.13, 0.00), 방향: (0.00, 1.00), screenBounds: 5
[19:31:06.183] [Log] 고양이 위치: (8.00, -4.12, 0.00), 방향: (0.00, 1.00), screenBounds: 5
[19:31:06.201] [Log] 고양이 위치: (8.00, -4.12, 0.00), 방향: (0.00, 1.00), screenBounds: 5
[19:31:06.219] [Log] 고양이 위치: (8.00, -4.11, 0.00), 방향: (0.00, 1.00), screenBounds: 5
[19:31:06.233] [Log] 고양이 위치: (8.00, -4.11, 0.00), 방향: (0.00, 1.00), screenBounds: 5
[19:31:06.252] [Log] 고양이 위치: (8.00, -4.10, 0.00), 방향: (0.00, 1.00), screenBounds: 5
[19:31:06.268] [Log] 고양이 위치: (8.00, -4.10, 0.00), 방향: (0.00, 1.00), screenBounds: 5
[19:31:06.284] [Log] 고양이 위치: (8.00, -4.09, 0.00), 방향: (0.00, 1.00), screenBounds: 5
